frame_id,channel,phy_x,phy_y,,,,,0,-1,0
2752,front,-288.175171,158.662079,,,1,,2752,-1,0
2753,front,-274.981201,157.742523,,,1,,2753,-1,0
2754,front,-286.118256,170.662659,,,1,,2754,-1,0
2755,front,-288.707642,177.308075,,,1,,2755,-1,0
2756,front,-291.493561,184.259003,,,1,,2756,-1,0
2757,front,-284.498016,183.457657,,,1,,2757,-1,0
2758,front,-287.34671,190.638535,,,1,,2758,-1,-1
2759,front,-280.423645,189.766602,,,2,,2759,-2,1
2761,front,-276.476898,196.253601,,,1,,2761,-1,0
2762,front,-272.650543,202.938599,,,1,,2762,-1,0
2763,front,-275.697235,210.931625,,,1,,2763,-1,0
2764,front,-268.938141,209.843353,,,1,,2764,-1,0
2765,front,-272.055573,218.154617,,,1,,2765,-1,0
2766,front,-275.419739,226.933014,,,1,,2766,-1,0
2767,front,-268.525024,225.648987,,,1,,2767,-1,0
2768,front,-271.971985,234.80928,,,1,,2768,-1,0
2769,front,-271.971985,234.80928,,,1,,2769,-1,0
2770,front,-275.699646,244.523636,,,1,,2770,-1,0
2771,front,-279.736023,254.850052,,,1,,2771,-1,0
2772,front,-272.460785,253.19693,,,1,,2772,-1,0
2773,front,-265.402557,251.602921,,,1,,2773,-1,0
2774,front,-276.609955,264.037079,,,1,,2774,-1,0
2775,front,-269.333893,262.285492,,,1,,2775,-1,0
2776,front,-273.60321,273.689819,,,1,,2776,-1,0
2777,front,-266.315796,271.834961,,,1,,2777,-1,0
2778,front,-266.315796,271.834961,,,1,,2778,-1,0
2779,front,-259.242279,270.046753,,,1,,2779,-1,0
2780,front,-259.242279,270.046753,,,1,,2780,-1,0
2781,front,-263.4039,281.897034,,,1,,2781,-1,0
2782,front,-267.939423,294.608551,,,1,,2782,-1,0
2783,front,-265.279816,306.001282,,,1,,2783,-1,0
2784,front,-265.279816,306.001282,,,1,,2784,-1,0
2785,front,-265.279816,306.001282,,,1,,2785,-1,0
2786,front,-270.407135,320.537323,,,1,,2786,-1,0
2787,front,-270.407135,320.537323,,,1,,2787,-1,0
2788,front,-262.734772,318.11615,,,1,,2788,-1,0
2789,front,-255.287918,315.785187,,,1,,2789,-1,0
2790,front,-260.304535,331.042053,,,1,,2790,-1,0
2791,front,-260.304535,331.042053,,,1,,2791,-1,0
2792,front,-280.360046,368.799774,,,,,2792,-1,0
